,Neighborhood,Borough,Town,Postcode,Latitude,Longitude
0,Abbey Wood,"Bexley, Greenwich ",London,SE2,51.492450000000076,0.12127000000003818
1,Acton,"Ealing, Hammersmith and Fulham",London,W3,51.51324000000005,-0.2674599999999714
2,Acton,"Ealing, Hammersmith and Fulham",London,W4,51.48944000000006,-0.26193999999992457
3,Aldgate,City,London,EC3,51.51200000000006,-0.08057999999994081
4,Aldwych,Westminster,London,WC2,51.51651000000004,-0.11967999999995982
5,Anerley,Bromley,London,SE20,51.41009000000008,-0.05682999999993399
6,Angel,Islington,London,EC1,51.523610000000076,-0.09876999999994496
7,Angel,Islington,London,N1,51.52969000000007,-0.08696999999995114
8,Archway,Islington,London,N19,51.56393000000003,-0.12944999999996298
9,Arnos Grove,Enfield,London,N11,51.616310000000055,-0.1383899999999585
10,Arnos Grove,Enfield,London,N14,51.63429000000008,-0.13365999999996347
11,Balham,Wandsworth,London,SW12,51.44822000000005,-0.1483899999999494
12,Bankside,Southwark,London,SE1,51.499960000000044,-0.09567999999995891
13,Barbican,City,London,EC1,51.523610000000076,-0.09876999999994496
14,Barbican,City,London,EC2,51.518410000000074,-0.08814999999992779
15,Barnes,Richmond upon Thames,London,SW13,51.47469000000007,-0.24162999999992962
16,Barnsbury,Islington,London,N1,51.52969000000007,-0.08696999999995114
17,Battersea,Wandsworth,London,SW11,51.46760000000006,-0.16289999999997917
18,Bayswater,Westminster,London,W2,51.51494000000008,-0.1804799999999318
19,Bedford Park,Ealing,London,W4,51.48944000000006,-0.26193999999992457
20,Belgravia,Westminster,London,SW1,51.49713000000003,-0.13828999999992675
21,Bellingham,Lewisham,London,SE6,51.43722000000008,-0.018679999999960728
22,Belsize Park,Camden,London,NW3,51.555060000000026,-0.1734799999999268
23,Bermondsey,Southwark,London,SE1,51.499960000000044,-0.09567999999995891
24,Bethnal Green,Tower Hamlets,London,E2,51.52669000000003,-0.06256999999993695
25,Blackfriars,City,London,EC4,51.51389000000006,-0.10433999999997923
26,Blackheath,Lewisham,London,SE3,51.47138000000007,0.023380000000031487
27,Blackheath Royal Standard,Greenwich,London,SE3,51.47138000000007,0.023380000000031487
28,Blackheath Royal Standard,Greenwich,London,SE12,51.44759000000005,0.013500000000021828
29,Blackwall,Tower Hamlets,London,E14,51.51122000000004,-0.012639999999976226
30,Bloomsbury,Camden,London,WC1,51.524500000000046,-0.12272999999993317
31,Bounds Green,Haringey,London,N11,51.616310000000055,-0.1383899999999585
32,Bounds Green,Haringey,London,N22,51.60214000000008,-0.11222999999995409
33,Bow,Tower Hamlets,London,E3,51.52702000000005,-0.02593999999993457
34,Bowes Park,Haringey,London,N22,51.60214000000008,-0.11222999999995409
35,Brent Cross,Barnet,London,NW2,51.562370000000044,-0.22130999999995993
36,Brent Cross,Barnet,London,NW4,51.589180000000056,-0.22804999999993925
37,Brent Park,Brent,London,NW10,51.53938000000005,-0.25204999999994016
38,Brixton,Lambeth,London,SW2,51.452950000000044,-0.12082999999995536
39,Brixton,Lambeth,London,SW9,51.47001000000006,-0.11248999999997977
40,Brixton,Lambeth,London,SE5,51.47480000000007,-0.09312999999997373
41,Brockley,Lewisham,London,SE4,51.462680000000034,-0.035579999999924894
42,Bromley (also Bromley-by-Bow),Tower Hamlets,London,E3,51.52702000000005,-0.02593999999993457
43,Brompton,"Kensington and Chelsea, Hammersmith and Fulham",London,SW3,51.49014000000005,-0.16247999999995955
44,Brondesbury,Brent,London,NW6,51.541870000000074,-0.1979499999999348
45,Brunswick Park,Barnet,London,N11,51.616310000000055,-0.1383899999999585
46,"Burroughs, The",Barnet,London,NW4,51.589180000000056,-0.22804999999993925
47,Camberwell,Southwark,London,SE5,51.47480000000007,-0.09312999999997373
48,Cambridge Heath,Tower Hamlets,London,E2,51.52669000000003,-0.06256999999993695
49,Camden Town,Camden,London,NW1,51.53354000000007,-0.1460599999999772
50,Canary Wharf,Tower Hamlets,London,E14,51.51122000000004,-0.012639999999976226
51,Cann Hall,Waltham Forest,London,E11,51.576760000000036,0.027230000000031396
52,Canning Town,Newham,London,E16,51.50913000000003,0.015280000000075233
53,Canonbury,Islington,London,N1,51.52969000000007,-0.08696999999995114
54,Castelnau,Richmond upon Thames,London,SW13,51.47469000000007,-0.24162999999992962
55,Catford,Lewisham,London,SE6,51.43722000000008,-0.018679999999960728
56,Chalk Farm,Camden,London,NW1,51.53354000000007,-0.1460599999999772
57,Charing Cross,Westminster,London,WC2,51.51651000000004,-0.11967999999995982
58,Charlton,Greenwich,London,SE7,51.48747000000003,0.02795000000003256
59,Chelsea,Kensington and Chelsea,London,SW3,51.49014000000005,-0.16247999999995955
60,Childs Hill,Barnet,London,NW2,51.562370000000044,-0.22130999999995993
61,Chinatown,Westminster,London,W1,51.51656000000003,-0.14769999999992933
62,Chinbrook,Lewisham,London,SE12,51.44759000000005,0.013500000000021828
63,Chingford,Waltham Forest,London,E4,51.617800000000045,-0.009339999999951942
64,Chiswick,"Hounslow, Ealing, Hammersmith and Fulham",London,W4,51.48944000000006,-0.26193999999992457
65,Church End,Brent,London,NW10,51.53938000000005,-0.25204999999994016
66,Church End,Barnet,London,N3,51.60104000000007,-0.19400999999993473
67,Clapham,"Lambeth, Wandsworth",London,SW4,51.46095000000008,-0.13921999999996615
68,Clerkenwell,Islington,London,EC1,51.523610000000076,-0.09876999999994496
69,Colindale,Barnet,London,NW9,51.58486000000005,-0.24880999999993492
70,Colliers Wood,Merton,London,SW19,51.421700000000044,-0.2079599999999573
71,Colney Hatch,Barnet,London,N11,51.616310000000055,-0.1383899999999585
72,Colney Hatch,Barnet,London,N10,51.59107000000006,-0.14851999999996224
73,Covent Garden,Westminster,London,WC2,51.51651000000004,-0.11967999999995982
74,Cricklewood,"Barnet, Brent, Camden",London,NW2,51.562370000000044,-0.22130999999995993
75,Crofton Park,Lewisham,London,SE4,51.462680000000034,-0.035579999999924894
76,Crossness,Bexley,London,SE2,51.492450000000076,0.12127000000003818
77,Crouch End,Haringey,London,N8,51.58170000000007,-0.12092999999993026
78,Crystal Palace,Bromley,London,SE19,51.41990000000004,-0.08807999999993399
79,Crystal Palace,Bromley,London,SE20,51.41009000000008,-0.05682999999993399
80,Crystal Palace,Bromley,London,SE26,51.42674000000005,-0.05532999999996946
81,Cubitt Town,Tower Hamlets,London,E14,51.51122000000004,-0.012639999999976226
82,Custom House,Newham,London,E16,51.50913000000003,0.015280000000075233
83,Dalston,Hackney,London,E8,51.54505000000006,-0.05531999999993786
84,De Beauvoir Town,Islington,London,N1,51.52969000000007,-0.08696999999995114
85,Denmark Hill,Southwark,London,SE5,51.47480000000007,-0.09312999999997373
86,Deptford,Lewisham,London,SE8,51.48114000000004,-0.02466999999995778
87,Dollis Hill,Brent,London,NW2,51.562370000000044,-0.22130999999995993
88,Dulwich,Southwark,London,SE21,51.44100000000003,-0.08896999999996069
89,Ealing,Ealing,London,W5,51.51406000000003,-0.30072999999993044
90,Ealing,Ealing,London,W13,51.514530000000036,-0.31950999999997975
91,Earls Court,Kensington and Chelsea,London,SW5,51.49004000000008,-0.1897099999999341
92,Earls Court,Kensington and Chelsea,London,SW10,51.48563000000007,-0.1814399999999523
93,Earlsfield,Wandsworth,London,SW18,51.45066000000003,-0.18996999999995978
94,East Dulwich,Southwark,London,SE22,51.45256000000006,-0.0707599999999502
95,East Finchley,Barnet,London,N2,51.589270000000056,-0.16394999999994297
96,East Ham,Newham,London,E6,51.53292000000005,0.05461000000002514
97,East Sheen,Richmond upon Thames,London,SW14,51.46482000000003,-0.26590999999996257
98,Edmonton,Enfield,London,N9,51.62879000000004,-0.05619999999993297
99,Edmonton,Enfield,London,N18,51.613980000000026,-0.0645699999999465
100,Elephant and Castle,Southwark,London,SE1,51.499960000000044,-0.09567999999995891
101,Elephant and Castle,Southwark,London,SE11,51.49084000000005,-0.11107999999995855
102,Elephant and Castle,Southwark,London,SE17,51.487640000000056,-0.09541999999993322
103,Eltham,Greenwich,London,SE9,51.444630000000075,0.05212000000005901
104,Farringdon,"Islington, City",London,EC1,51.523610000000076,-0.09876999999994496
105,Finchley,Barnet,London,N2,51.589270000000056,-0.16394999999994297
106,Finchley,Barnet,London,N3,51.60104000000007,-0.19400999999993473
107,Finchley,Barnet,London,N12,51.615920000000074,-0.1767399999999384
108,Finsbury,Islington,London,EC1,51.523610000000076,-0.09876999999994496
109,Finsbury Park,"Haringey, Islington",London,N4,51.56878000000006,-0.09846999999996342
110,Fitzrovia,Camden,London,W1,51.51656000000003,-0.14769999999992933
111,Forest Gate,Newham,London,E7,51.54668000000004,0.025580000000047676
112,Forest Hill,Lewisham,London,SE23,51.441220000000044,-0.047639999999944393
113,Fortis Green,Haringey,London,N10,51.59107000000006,-0.14851999999996224
114,Friern Barnet,Barnet,London,N11,51.616310000000055,-0.1383899999999585
115,Frognal,Camden,London,NW3,51.555060000000026,-0.1734799999999268
116,Fulham,Hammersmith and Fulham,London,SW6,51.47772000000003,-0.2014499999999657
117,Gipsy Hill,Lambeth,London,SE19,51.41990000000004,-0.08807999999993399
118,Gipsy Hill,Lambeth,London,SE27,51.43407000000008,-0.10374999999993406
119,Golders Green,Barnet,London,NW11,51.576730000000055,-0.19694999999995844
120,Gospel Oak,Camden,London,NW5,51.55570000000006,-0.13925999999997885
121,Gospel Oak,Camden,London,NW3,51.555060000000026,-0.1734799999999268
122,Grahame Park,Barnet,London,NW9,51.58486000000005,-0.24880999999993492
123,Grange Park,Enfield,London,N21,51.63519000000008,-0.09302999999994199
124,Greenwich,Greenwich,London,SE10,51.48454000000004,0.002750000000048658
125,Grove Park,Hounslow,London,W4,51.48944000000006,-0.26193999999992457
126,Grove Park,Lewisham,London,SE12,51.44759000000005,0.013500000000021828
127,Gunnersbury,Hounslow,London,W4,51.48944000000006,-0.26193999999992457
128,Hackney,Hackney,London,E5,51.558970000000045,-0.05322999999992817
129,Hackney,Hackney,London,E8,51.54505000000006,-0.05531999999993786
130,Hackney,Hackney,London,E9,51.53777000000008,-0.04479999999995243
131,Hackney,Hackney,London,N1,51.52969000000007,-0.08696999999995114
132,Hackney,Hackney,London,N16,51.56350000000003,-0.07312999999993508
133,Hackney Central,Hackney,London,E8,51.54505000000006,-0.05531999999993786
134,Hackney Marshes,Hackney,London,E9,51.53777000000008,-0.04479999999995243
135,Hackney Wick,Hackney,London,E9,51.53777000000008,-0.04479999999995243
136,Haggerston,Hackney,London,E2,51.52669000000003,-0.06256999999993695
137,The Hale,Barnet,London,NW7,51.615680000000054,-0.2451099999999542
138,Hammersmith,Hammersmith and Fulham,London,W6,51.49617000000006,-0.22934999999995398
139,Hampstead,Camden,London,NW3,51.555060000000026,-0.1734799999999268
140,Hampstead Garden Suburb,Barnet,London,N2,51.589270000000056,-0.16394999999994297
141,Hanwell,Ealing,London,W7,51.50878000000006,-0.3362999999999374
142,Harlesden,Brent,London,NW10,51.53938000000005,-0.25204999999994016
143,Harringay,Haringey,London,N4,51.56878000000006,-0.09846999999996342
144,Harringay,Haringey,London,N8,51.58170000000007,-0.12092999999993026
145,Harringay,Haringey,London,N15,51.58151000000004,-0.07589999999993324
146,Hendon,Barnet,London,NW4,51.589180000000056,-0.22804999999993925
147,Herne Hill,Lambeth,London,SE24,51.45529000000005,-0.09927999999996473
148,Highams Park,Waltham Forest,London,E4,51.617800000000045,-0.009339999999951942
149,Highbury,Islington,London,N5,51.553180000000054,-0.09838999999993803
150,Highgate,Camden,London,N6,51.57145000000003,-0.14982999999995172
151,Hither Green,Lewisham,London,SE13,51.46196000000003,-0.007539999999949032
152,Holborn,Camden,London,WC1,51.524500000000046,-0.12272999999993317
153,Holborn,Camden,London,WC2,51.51651000000004,-0.11967999999995982
154,Holland Park,Kensington and Chelsea,London,W8,51.50162000000006,-0.19172999999995
155,Holland Park,Kensington and Chelsea,London,W11,51.512440000000026,-0.20638999999994212
156,Holland Park,Kensington and Chelsea,London,W14,51.49568000000005,-0.2099299999999289
157,Holloway,Islington,London,N7,51.55457000000007,-0.11477999999993926
158,Homerton,Hackney,London,E9,51.53777000000008,-0.04479999999995243
159,Honor Oak,Lewisham,London,SE23,51.441220000000044,-0.047639999999944393
160,Horn Park,"Greenwich, Lewisham",London,SE12,51.44759000000005,0.013500000000021828
161,Hornsey,Haringey,London,N8,51.58170000000007,-0.12092999999993026
162,Hoxton,Hackney,London,N1,51.52969000000007,-0.08696999999995114
163,The Hyde,Barnet,London,NW9,51.58486000000005,-0.24880999999993492
164,Isle of Dogs,Tower Hamlets,London,E14,51.51122000000004,-0.012639999999976226
165,Islington,Islington,London,N1,51.52969000000007,-0.08696999999995114
166,Kennington,"Lambeth, Southwark",London,SE11,51.49084000000005,-0.11107999999995855
167,Kensal Green,Brent,London,NW10,51.53938000000005,-0.25204999999994016
168,Kensal Green,Brent,London,NW6,51.541870000000074,-0.1979499999999348
169,Kensington,Kensington and Chelsea,London,SW7,51.49807000000004,-0.17403999999993403
170,Kentish Town,Camden,London,NW5,51.55570000000006,-0.13925999999997885
171,Kidbrooke,Greenwich,London,SE3,51.47138000000007,0.023380000000031487
172,Kilburn,"Brent, Camden",London,NW6,51.541870000000074,-0.1979499999999348
173,King's Cross,"Camden, Islington",London,WC1,51.524500000000046,-0.12272999999993317
174,Kingsbury,Brent,London,NW9,51.58486000000005,-0.24880999999993492
175,Kingston Vale,Kingston upon Thames,London,SW15,51.457550000000026,-0.21844999999996162
176,Knightsbridge,Westminster,London,SW1,51.49713000000003,-0.13828999999992675
177,Ladywell,Lewisham,London,SE4,51.462680000000034,-0.035579999999924894
178,Ladywell,Lewisham,London,SE13,51.46196000000003,-0.007539999999949032
179,Lambeth,Lambeth,London,SE1,51.499960000000044,-0.09567999999995891
180,Lea Bridge,Hackney,London,E10,51.558850000000064,-0.00732999999996764
181,Leamouth,Tower Hamlets,London,E14,51.51122000000004,-0.012639999999976226
182,Lee,Lewisham,London,SE12,51.44759000000005,0.013500000000021828
183,Lewisham,Lewisham,London,SE13,51.46196000000003,-0.007539999999949032
184,Leyton,Waltham Forest,London,E10,51.558850000000064,-0.00732999999996764
185,Leyton,Waltham Forest,London,E15,51.540140000000065,0.0027800000000297587
186,Leytonstone,Waltham Forest,London,E11,51.576760000000036,0.027230000000031396
187,Limehouse,Tower Hamlets,London,E14,51.51122000000004,-0.012639999999976226
188,Lisson Grove,Westminster,London,NW8,51.53398000000004,-0.17377999999996518
189,Little Ilford,Newham,London,E12,51.552410000000066,0.05258000000003449
190,Little Venice,Westminster,London,W9,51.525870000000054,-0.19525999999996202
191,Little Venice,Westminster,London,W2,51.51494000000008,-0.1804799999999318
192,Lower Clapton,Hackney,London,E5,51.558970000000045,-0.05322999999992817
193,Maida Vale,Westminster,London,W9,51.525870000000054,-0.19525999999996202
194,Manor House,Hackney,London,N4,51.56878000000006,-0.09846999999996342
195,Manor Park,Newham,London,E12,51.552410000000066,0.05258000000003449
196,Maryland,Newham,London,E15,51.540140000000065,0.0027800000000297587
197,Marylebone (also St Marylebone),Westminster,London,W1,51.51656000000003,-0.14769999999992933
198,Mayfair,Westminster,London,W1,51.51656000000003,-0.14769999999992933
199,Maze Hill,Greenwich,London,SE10,51.48454000000004,0.002750000000048658
200,Merton Park,Merton,London,SW19,51.421700000000044,-0.2079599999999573
201,Middle Park,Greenwich,London,SE9,51.444630000000075,0.05212000000005901
202,Mile End,Tower Hamlets,London,E1,51.52022000000005,-0.054309999999929914
203,Mill Hill,Barnet,London,NW7,51.615680000000054,-0.2451099999999542
204,Millbank,Westminster,London,SW1,51.49713000000003,-0.13828999999992675
205,Millwall,Tower Hamlets,London,E14,51.51122000000004,-0.012639999999976226
206,Mortlake,Richmond upon Thames,London,SW14,51.46482000000003,-0.26590999999996257
207,Mottingham,Bromley,London,SE9,51.444630000000075,0.05212000000005901
208,Muswell Hill,"Haringey, Barnet",London,N10,51.59107000000006,-0.14851999999996224
209,Neasden,Brent,London,NW2,51.562370000000044,-0.22130999999995993
210,Neasden,Brent,London,NW10,51.53938000000005,-0.25204999999994016
211,New Cross,Lewisham,London,SE14,51.47489000000007,-0.04037999999997055
212,New Eltham,Greenwich,London,SE9,51.444630000000075,0.05212000000005901
213,New Southgate,Barnet,London,N11,51.616310000000055,-0.1383899999999585
214,Newington,Southwark,London,SE1,51.499960000000044,-0.09567999999995891
215,Newington,Southwark,London,SE17,51.487640000000056,-0.09541999999993322
216,Nine Elms,Wandsworth,London,SW8,51.476230000000044,-0.13055999999994583
217,Norbury,Croydon,London,SW16,51.41870000000006,-0.12752999999997883
218,North Finchley,Barnet,London,N12,51.615920000000074,-0.1767399999999384
219,North Kensington,Kensington and Chelsea,London,W10,51.52346000000006,-0.21352999999993472
220,North Kensington,Kensington and Chelsea,London,W11,51.512440000000026,-0.20638999999994212
221,North Woolwich,Newham,London,E16,51.50913000000003,0.015280000000075233
222,Notting Hill,Kensington and Chelsea,London,W11,51.512440000000026,-0.20638999999994212
223,Nunhead,Southwark,London,SE15,51.47218000000004,-0.0677899999999454
224,Oakleigh Park,Barnet,London,N20,51.63261000000006,-0.17561999999992395
225,Old Ford,Tower Hamlets,London,E3,51.52702000000005,-0.02593999999993457
226,Old Oak Common,Hammersmith and Fulham,London,NW10,51.53938000000005,-0.25204999999994016
227,Osidge,Barnet,London,N14,51.63429000000008,-0.13365999999996347
228,Oval,Lambeth,London,SW8,51.476230000000044,-0.13055999999994583
229,Oval,Lambeth,London,SW9,51.47001000000006,-0.11248999999997977
230,Oval,Lambeth,London,SE11,51.49084000000005,-0.11107999999995855
231,Paddington,Westminster,London,W2,51.51494000000008,-0.1804799999999318
232,Palmers Green,Enfield,London,N13,51.62003000000004,-0.10659999999995762
233,Park Royal,"Brent, Ealing",London,NW10,51.53938000000005,-0.25204999999994016
234,Parsons Green,Hammersmith and Fulham,London,SW6,51.47772000000003,-0.2014499999999657
235,Peckham,Southwark,London,SE15,51.47218000000004,-0.0677899999999454
236,Penge,Bromley,London,SE20,51.41009000000008,-0.05682999999993399
237,Pentonville,Islington,London,N1,51.52969000000007,-0.08696999999995114
238,Pimlico,Westminster,London,SW1,51.49713000000003,-0.13828999999992675
239,Plaistow,Newham,London,E13,51.52653000000004,0.02876000000003387
240,Plumstead,Greenwich,London,SE18,51.48207000000008,0.07143000000002075
241,Poplar,Tower Hamlets,London,E14,51.51122000000004,-0.012639999999976226
242,Primrose Hill,Camden,London,NW1,51.53354000000007,-0.1460599999999772
243,Primrose Hill,Camden,London,NW3,51.555060000000026,-0.1734799999999268
244,Primrose Hill,Camden,London,NW8,51.53398000000004,-0.17377999999996518
245,Putney,Wandsworth,London,SW15,51.457550000000026,-0.21844999999996162
246,Queen's Park,Brent,London,NW6,51.541870000000074,-0.1979499999999348
247,Ratcliff,Tower Hamlets,London,E1,51.52022000000005,-0.054309999999929914
248,Raynes Park,Merton,London,SW20,51.41117000000003,-0.22622999999993
249,Roehampton,Wandsworth,London,SW15,51.457550000000026,-0.21844999999996162
250,Rotherhithe,Southwark,London,SE16,51.49574000000007,-0.051569999999969696
251,Sands End,Hammersmith and Fulham,London,SW6,51.47772000000003,-0.2014499999999657
252,Selhurst,Croydon,London,SE25,51.39925000000005,-0.07413999999994303
253,Seven Sisters,Haringey,London,N15,51.58151000000004,-0.07589999999993324
254,Shacklewell,Hackney,London,E8,51.54505000000006,-0.05531999999993786
255,Shacklewell,Hackney,London,N16,51.56350000000003,-0.07312999999993508
256,Shadwell,Tower Hamlets,London,E1,51.52022000000005,-0.054309999999929914
257,Shepherd's Bush,Hammersmith and Fulham,London,W12,51.50645000000003,-0.2369099999999662
258,Shooter's Hill,Greenwich,London,SE18,51.48207000000008,0.07143000000002075
259,Shoreditch,Hackney,London,N1,51.52969000000007,-0.08696999999995114
260,Silvertown,Newham,London,E16,51.50913000000003,0.015280000000075233
261,Snaresbrook,"Redbridge, Waltham Forest",London,E11,51.576760000000036,0.027230000000031396
262,Soho,Westminster,London,W1,51.51656000000003,-0.14769999999992933
263,Somerstown,Camden,London,NW1,51.53354000000007,-0.1460599999999772
264,South Hackney,Hackney,London,E9,51.53777000000008,-0.04479999999995243
265,South Kensington,Kensington and Chelsea,London,SW7,51.49807000000004,-0.17403999999993403
266,South Kensington,Kensington and Chelsea,London,SW3,51.49014000000005,-0.16247999999995955
267,South Kensington,Kensington and Chelsea,London,SW5,51.49004000000008,-0.1897099999999341
268,South Norwood,Croydon,London,SE25,51.39925000000005,-0.07413999999994303
269,South Wimbledon,Merton,London,SW19,51.421700000000044,-0.2079599999999573
270,South Woodford,Redbridge,London,E18,51.589770000000044,0.030520000000024083
271,South Tottenham,Haringey,London,N15,51.58151000000004,-0.07589999999993324
272,South Tottenham,Haringey,London,N17,51.59835000000004,-0.07486999999997579
273,Southend,Lewisham,London,SE6,51.43722000000008,-0.018679999999960728
274,Southfields,Wandsworth,London,SW18,51.45066000000003,-0.18996999999995978
275,Southfields,Wandsworth,London,SW19,51.421700000000044,-0.2079599999999573
276,Southgate,Enfield,London,N14,51.63429000000008,-0.13365999999996347
277,Spitalfields,Tower Hamlets,London,E1,51.52022000000005,-0.054309999999929914
278,St James's,Westminster,London,SW1,51.49713000000003,-0.13828999999992675
279,St Giles,Camden,London,WC2,51.51651000000004,-0.11967999999995982
280,St Johns,Lewisham,London,SE4,51.462680000000034,-0.035579999999924894
281,St John's Wood,Westminster,London,NW8,51.53398000000004,-0.17377999999996518
282,St Luke's,Islington,London,EC1,51.523610000000076,-0.09876999999994496
283,St Pancras,Camden,London,WC1,51.524500000000046,-0.12272999999993317
284,Stamford Hill,Hackney,London,N15,51.58151000000004,-0.07589999999993324
285,Stamford Hill,Hackney,London,N16,51.56350000000003,-0.07312999999993508
286,Stepney,Tower Hamlets,London,E1,51.52022000000005,-0.054309999999929914
287,Stockwell,Lambeth,London,SW8,51.476230000000044,-0.13055999999994583
288,Stockwell,Lambeth,London,SW9,51.47001000000006,-0.11248999999997977
289,Stoke Newington,Hackney,London,N16,51.56350000000003,-0.07312999999993508
290,Stonebridge,Brent,London,NW10,51.53938000000005,-0.25204999999994016
291,Stratford,Newham,London,E15,51.540140000000065,0.0027800000000297587
292,Streatham,Lambeth,London,SW16,51.41870000000006,-0.12752999999997883
293,Stroud Green,Haringey,London,N4,51.56878000000006,-0.09846999999996342
294,Surrey Quays,Southwark,London,SE16,51.49574000000007,-0.051569999999969696
295,Swiss Cottage,Camden,London,NW3,51.555060000000026,-0.1734799999999268
296,"Sydenham (also Lower Sydenham, Upper Sydenham)","Lewisham, Bromley",London,SE26,51.42674000000005,-0.05532999999996946
297,Sydenham Hill,"Lewisham, Southwark",London,SE21,51.44100000000003,-0.08896999999996069
298,Sydenham Hill,"Lewisham, Southwark",London,SE26,51.42674000000005,-0.05532999999996946
299,Temple,"City, Westminster",London,EC4,51.51389000000006,-0.10433999999997923
300,Temple,"City, Westminster",London,WC2,51.51651000000004,-0.11967999999995982
301,Tooting,Wandsworth,London,SW17,51.43037000000004,-0.1655799999999772
302,Tooting Bec,Wandsworth,London,SW17,51.43037000000004,-0.1655799999999772
303,Tottenham,Haringey,London,N15,51.58151000000004,-0.07589999999993324
304,Tottenham,Haringey,London,N17,51.59835000000004,-0.07486999999997579
305,Tottenham Green,Haringey,London,N15,51.58151000000004,-0.07589999999993324
306,Tottenham Hale,Haringey,London,N15,51.58151000000004,-0.07589999999993324
307,Tottenham Hale,Haringey,London,N17,51.59835000000004,-0.07486999999997579
308,Totteridge,Barnet,London,N20,51.63261000000006,-0.17561999999992395
309,Tower Hill,Tower Hamlets,London,EC3,51.51200000000006,-0.08057999999994081
310,Tufnell Park,"Islington, Camden",London,N7,51.55457000000007,-0.11477999999993926
311,Tufnell Park,"Islington, Camden",London,N19,51.56393000000003,-0.12944999999996298
312,Tulse Hill,Lambeth,London,SE24,51.45529000000005,-0.09927999999996473
313,Tulse Hill,Lambeth,London,SE27,51.43407000000008,-0.10374999999993406
314,Turnpike Lane,Haringey,London,N8,51.58170000000007,-0.12092999999993026
315,Upper Clapton,Hackney,London,E5,51.558970000000045,-0.05322999999992817
316,Upper Holloway,Islington,London,N19,51.56393000000003,-0.12944999999996298
317,Upper Norwood,Croydon,London,SE19,51.41990000000004,-0.08807999999993399
318,Upper Walthamstow,Waltham Forest,London,E17,51.58477000000005,-0.019429999999942993
319,Upton Park,Newham,London,E6,51.53292000000005,0.05461000000002514
320,Upton Park,Newham,London,E13,51.52653000000004,0.02876000000003387
321,Vauxhall,Lambeth,London,SW8,51.476230000000044,-0.13055999999994583
322,Walthamstow,Waltham Forest,London,E17,51.58477000000005,-0.019429999999942993
323,Walthamstow Village,Waltham Forest,London,E17,51.58477000000005,-0.019429999999942993
324,Walworth,Southwark,London,SE17,51.487640000000056,-0.09541999999993322
325,Wandsworth,Wandsworth,London,SW18,51.45066000000003,-0.18996999999995978
326,Wanstead,Redbridge,London,E11,51.576760000000036,0.027230000000031396
327,Wapping,Tower Hamlets,London,E1,51.52022000000005,-0.054309999999929914
328,Well Hall,Greenwich,London,SE9,51.444630000000075,0.05212000000005901
329,West Brompton,Kensington and Chelsea,London,SW10,51.48563000000007,-0.1814399999999523
330,West Ealing,Ealing,London,W13,51.514530000000036,-0.31950999999997975
331,West Green,Haringey,London,N15,51.58151000000004,-0.07589999999993324
332,West Hackney,Hackney,London,N16,51.56350000000003,-0.07312999999993508
333,West Ham,Newham,London,E13,51.52653000000004,0.02876000000003387
334,West Ham,Newham,London,E15,51.540140000000065,0.0027800000000297587
335,West Hampstead,Camden,London,NW6,51.541870000000074,-0.1979499999999348
336,West Heath,Bexley,London,SE2,51.492450000000076,0.12127000000003818
337,West Hendon,Barnet,London,NW9,51.58486000000005,-0.24880999999993492
338,West Kensington,Hammersmith and Fulham,London,W14,51.49568000000005,-0.2099299999999289
339,West Norwood,Lambeth,London,SE27,51.43407000000008,-0.10374999999993406
340,Westcombe Park,Greenwich,London,SE3,51.47138000000007,0.023380000000031487
341,Westminster,Westminster,London,SW1,51.49713000000003,-0.13828999999992675
342,Whetstone,Barnet,London,N20,51.63261000000006,-0.17561999999992395
343,White City,Hammersmith and Fulham,London,W12,51.50645000000003,-0.2369099999999662
344,Whitechapel,Tower Hamlets,London,E1,51.52022000000005,-0.054309999999929914
345,Willesden,Brent,London,NW10,51.53938000000005,-0.25204999999994016
346,Wimbledon,Merton,London,SW19,51.421700000000044,-0.2079599999999573
347,Wimbledon,Merton,London,SW20,51.41117000000003,-0.22622999999993
348,Winchmore Hill,Enfield,London,N21,51.63519000000008,-0.09302999999994199
349,Wood Green,Haringey,London,N22,51.60214000000008,-0.11222999999995409
350,Woodford,Redbridge,London,IG8,51.50642000000005,-0.1272099999999341
351,Woodford,Redbridge,London,E18,51.589770000000044,0.030520000000024083
352,Woodside Park,Barnet,London,N12,51.615920000000074,-0.1767399999999384
353,Woolwich,Greenwich,London,SE18,51.48207000000008,0.07143000000002075
354,Wormwood Scrubs,Hammersmith and Fulham,London,W12,51.50645000000003,-0.2369099999999662
